,,,total_cand,total_cand,total_cand,total_cand,total_cand,total_cand,total_cand,total_cand
,,,count,mean,std,min,25%,50%,75%,max
UF,Gênero,Raça,,,,,,,,
AC,FEMININO,BRANCA,18.0,291527.1005555556,374760.4754414342,2500.0,71106.25,112206.48,411044.1625,1300000.0
AC,FEMININO,NÃO BRANCO,32.0,606423.0534375,958735.7138072278,2500.0,37084.4,125866.0,753500.0,2913700.0
AC,MASCULINO,BRANCA,16.0,766741.00125,852024.1431664708,9582.96,187854.935,417409.825,1067449.71,3025100.0
AC,MASCULINO,NÃO BRANCO,60.0,328880.0346666667,522279.4959388844,2500.0,30760.5,105117.105,345311.36,2577602.0
AL,FEMININO,BRANCA,24.0,441529.3558333334,514540.7753626352,5000.0,137950.0,289012.825,511474.47,2293340.05
AL,FEMININO,NÃO BRANCO,24.0,269696.0833333333,459888.0701495563,3000.0,25473.35,66282.51999999999,277499.675,1908530.3399999999
AL,MASCULINO,BRANCA,42.0,713639.7519047619,916574.1163248987,2000.0,63601.365,380310.0,756873.51,3238300.0
AL,MASCULINO,NÃO BRANCO,42.0,506478.3585714285,787169.0108191725,2614.34,40000.0,87950.0,528939.25,3171500.0
AM,FEMININO,BRANCA,14.0,833388.5657142857,1178210.5951053707,4363.5,53250.0,205522.85499999998,962200.5,3174965.0
AM,FEMININO,NÃO BRANCO,41.0,310247.06536585366,540435.7061888142,600.0,37000.0,79000.0,239113.35,2568230.0
AM,MASCULINO,BRANCA,36.0,608790.9224999999,874128.7111591428,100.0,35522.6775,241880.19,743000.0,2773073.46
AM,MASCULINO,NÃO BRANCO,52.0,404799.5346153847,793309.5250957722,600.0,32872.0,67056.675,324220.0,3146220.54
AP,FEMININO,BRANCA,15.0,407733.18533333327,323672.4764164882,3000.0,192031.55,335926.0,601550.0,1021931.0
AP,FEMININO,NÃO BRANCO,34.0,509162.39764705894,623534.7880980191,1000.0,129215.06,216703.0,552000.0,2266964.0
AP,MASCULINO,BRANCA,27.0,640652.6225925925,703063.1216034605,1434.55,207171.195,456800.0,667300.0,3170000.0
AP,MASCULINO,NÃO BRANCO,50.0,424377.92240000004,578303.2733883817,434.55,55500.0,242340.0,463179.14,2550000.0
BA,FEMININO,BRANCA,40.0,334506.3465,619405.7715292815,5000.0,29359.23,85000.0,315739.12,3003364.7
