,,,total_cand,total_cand,total_cand,total_cand,Nome_Candidato
,,,sum,mean,median,max,count
UF,Gênero,Raça,,,,,
AC,FEMININO,BRANCA,9786117.61,391444.7044,123362.95999999999,1669311.96,25
AC,FEMININO,NÃO BRANCO,23825545.67,541489.6743181818,80973.655,2913700.0,44
AC,MASCULINO,BRANCA,18716515.45,719865.9788461538,417409.825,3025100.0,26
AC,MASCULINO,NÃO BRANCO,26776619.22,297517.9913333333,96028.68,2577602.0,90
AL,FEMININO,BRANCA,13800302.53,372981.14945945947,271393.19999999995,2293340.05,37
AL,FEMININO,NÃO BRANCO,7644019.27,254800.64233333332,57189.0,1908530.3399999999,30
AL,MASCULINO,BRANCA,39547513.730000004,573152.3728985508,286180.29,3238300.0,69
AL,MASCULINO,NÃO BRANCO,27369819.67,441448.70435483876,52555.0,3171500.0,62
AM,FEMININO,BRANCA,12050015.52,634211.3431578947,115662.4,3174965.0,19
AM,FEMININO,NÃO BRANCO,15483268.790000001,258054.47983333335,49705.0,2568230.0,60
AM,MASCULINO,BRANCA,31770170.15,557371.4061403509,193399.75,2773073.46,57
AM,MASCULINO,NÃO BRANCO,29225782.52,324730.91688888887,55540.715,3146220.54,90
AP,FEMININO,BRANCA,9008053.87,409456.9940909091,306632.4,1952424.6,22
AP,FEMININO,NÃO BRANCO,20867919.91,372641.4269642857,181381.275,2266964.0,56
AP,MASCULINO,BRANCA,23638146.16,549724.3293023256,400000.0,3170000.0,43
AP,MASCULINO,NÃO BRANCO,28700904.31,322482.0708988764,134900.0,2550000.0,89
BA,FEMININO,BRANCA,17028271.82,274649.54548387096,74379.275,3003364.7,62
BA,FEMININO,NÃO BRANCO,54392029.18,203715.46509363296,35147.53,3126189.27,267
BA,MASCULINO,BRANCA,94952030.93,518863.55699453555,60000.0,3093339.7,183
BA,MASCULINO,NÃO BRANCO,110235668.62,233550.14538135595,30110.765,3147847.7,472
CE,FEMININO,BRANCA,23393349.75,349154.47388059704,60766.32,2531050.69,67
CE,FEMININO,NÃO BRANCO,20437078.89,185791.62627272727,47330.545,2906162.9,110
CE,MASCULINO,BRANCA,61018434.99,404095.5959602649,99878.59,2925148.19,151
CE,MASCULINO,NÃO BRANCO,50724114.71,257482.81578680204,32829.77,3070740.1999999997,197
DF,FEMININO,BRANCA,27057181.41,443560.35098360654,91989.35,3119669.59,61
DF,FEMININO,NÃO BRANCO,11649446.41,200852.52431034483,78188.975,2258998.69,58
DF,MASCULINO,BRANCA,45728535.089999996,397639.43556521734,58235.0,3048153.82,115
DF,MASCULINO,NÃO BRANCO,21105569.96,188442.58892857144,30043.0,1589050.0,112
ES,FEMININO,BRANCA,24105594.13,415613.6918965517,134564.6,2712000.0,58
ES,FEMININO,NÃO BRANCO,11772020.93,210214.6594642857,68670.75,2037078.23,56
ES,MASCULINO,BRANCA,52649802.28,474322.54306306306,159400.0,2693959.9899999998,111
ES,MASCULINO,NÃO BRANCO,32039379.71,368268.7322988506,104319.1,2769749.2,87
GO,FEMININO,BRANCA,35364311.7,346708.93823529413,69084.285,3161250.0,102
GO,FEMININO,NÃO BRANCO,15470730.49,200918.5777922078,45000.0,3146888.94,77
GO,MASCULINO,BRANCA,93233625.85,545225.8821637427,150000.0,3268149.5,171
GO,MASCULINO,NÃO BRANCO,33037180.66,220247.87106666667,45667.295,2989960.41,150
MA,FEMININO,BRANCA,11001823.03,224527.00061224488,84100.44,3148240.0,49
MA,FEMININO,NÃO BRANCO,20553336.71,197628.23759615386,50471.2,2708862.0,104
MA,MASCULINO,BRANCA,54407143.45,503769.8467592593,148752.26,3322098.8499999996,108
MA,MASCULINO,NÃO BRANCO,64877870.74,322775.476318408,67036.35,3178220.05,201
MG,FEMININO,BRANCA,52569819.82,215450.08122950819,50000.0,2938215.32,244
MG,FEMININO,NÃO BRANCO,36174015.24,143547.67952380952,35129.259999999995,3040391.77,252
MG,MASCULINO,BRANCA,281497766.29,459213.3218433932,88340.64,3187491.55,613
MG,MASCULINO,NÃO BRANCO,81242509.14,175091.61452586207,20310.275,3211000.0,464
MG,NÃO BRANCO,NÃO BRANCO,500.0,500.0,500.0,500.0,1
MS,FEMININO,BRANCA,13259928.94,250187.33849056604,95631.32,2221509.6,53
